answer,category,subcategory,predicted_category
There is a clear path for promotions and recognition.,Career Growth,Promotions,Career Growth
There is a clear path for promotions and recognition.,Career Growth,Promotions,Career Growth
There is clarity in what is expected from my position.,Job Role,Clarity,Job Role
Our leaders are approachable and provide clear direction.,Workplace Culture,Leadership,Management
Ergonomic furniture helps with long working hours.,Work Environment,Ergonomics,Work Environment
Ergonomic furniture helps with long working hours.,Work Environment,Ergonomics,Work Environment
Working remotely has been a seamless experience.,Work-Life Balance,Remote Work,Work Environment
Having a mentor has helped me grow professionally.,Career Growth,Mentorship,Career Growth
There is a clear path for promotions and recognition.,Career Growth,Promotions,Career Growth
We receive comprehensive health and wellness benefits.,Compensation,Benefits,Work-Life Balance
The company promotes an inclusive culture for everyone.,Workplace Culture,Inclusivity,Workplace Culture
There is a clear path for promotions and recognition.,Career Growth,Promotions,Career Growth
I feel supported by my managers in my daily tasks.,Management,Support,Management
Office facilities are well-maintained and resourceful.,Work Environment,Facilities,Work Environment
The workspace setup supports productivity and comfort.,Work Environment,Office Setup,Work Environment
I feel supported by my managers in my daily tasks.,Management,Support,Management
Expectations from my role are communicated effectively.,Job Role,Expectations,Job Role
Having a mentor has helped me grow professionally.,Career Growth,Mentorship,Career Growth
Our leaders are approachable and provide clear direction.,Workplace Culture,Leadership,Management
Ergonomic furniture helps with long working hours.,Work Environment,Ergonomics,Work Environment
Ergonomic furniture helps with long working hours.,Work Environment,Ergonomics,Work Environment
Our leaders are approachable and provide clear direction.,Workplace Culture,Leadership,Management
Working remotely has been a seamless experience.,Work-Life Balance,Remote Work,Work Environment
The leave policies are generous and easy to access.,Work-Life Balance,Time Off,Work Environment
Having a mentor has helped me grow professionally.,Career Growth,Mentorship,Career Growth
We receive comprehensive health and wellness benefits.,Compensation,Benefits,Work-Life Balance
Expectations from my role are communicated effectively.,Job Role,Expectations,Job Role
Ergonomic furniture helps with long working hours.,Work Environment,Ergonomics,Work Environment
I feel supported by my managers in my daily tasks.,Management,Support,Management
I enjoy working closely with my team on projects.,Workplace Culture,Team Collaboration,Job Role
Working remotely has been a seamless experience.,Work-Life Balance,Remote Work,Work Environment
The salary is competitive with industry standards.,Compensation,Salary,Compensation
My job responsibilities are clear and well-defined.,Job Role,Responsibilities,Job Role
The company promotes an inclusive culture for everyone.,Workplace Culture,Inclusivity,Workplace Culture
The salary is competitive with industry standards.,Compensation,Salary,Compensation
The company promotes an inclusive culture for everyone.,Workplace Culture,Inclusivity,Workplace Culture
Our leaders are approachable and provide clear direction.,Workplace Culture,Leadership,Management
We receive comprehensive health and wellness benefits.,Compensation,Benefits,Work-Life Balance
I enjoy working closely with my team on projects.,Workplace Culture,Team Collaboration,Job Role
Ergonomic furniture helps with long working hours.,Work Environment,Ergonomics,Work Environment
Management communicates updates regularly.,Management,Communication,Management
Bonuses are performance-based and fairly distributed.,Compensation,Bonuses,Compensation
We receive comprehensive health and wellness benefits.,Compensation,Benefits,Work-Life Balance
Working remotely has been a seamless experience.,Work-Life Balance,Remote Work,Work Environment
There is a clear path for promotions and recognition.,Career Growth,Promotions,Career Growth
Management communicates updates regularly.,Management,Communication,Management
Expectations from my role are communicated effectively.,Job Role,Expectations,Job Role
Management communicates updates regularly.,Management,Communication,Management
The leave policies are generous and easy to access.,Work-Life Balance,Time Off,Work Environment
Ergonomic furniture helps with long working hours.,Work Environment,Ergonomics,Work Environment
Having a mentor has helped me grow professionally.,Career Growth,Mentorship,Career Growth
I feel supported by my managers in my daily tasks.,Management,Support,Management
I enjoy working closely with my team on projects.,Workplace Culture,Team Collaboration,Job Role
The salary is competitive with industry standards.,Compensation,Salary,Compensation
I feel supported by my managers in my daily tasks.,Management,Support,Management
The workspace setup supports productivity and comfort.,Work Environment,Office Setup,Work Environment
There is a clear path for promotions and recognition.,Career Growth,Promotions,Career Growth
The salary is competitive with industry standards.,Compensation,Salary,Compensation
I appreciate the flexible working hours offered.,Work-Life Balance,Flexibility,Work Environment
The company invests in training and skill development.,Career Growth,Training Programs,Career Growth
Working remotely has been a seamless experience.,Work-Life Balance,Remote Work,Work Environment
Expectations from my role are communicated effectively.,Job Role,Expectations,Job Role
The workspace setup supports productivity and comfort.,Work Environment,Office Setup,Work Environment
Leaders involve teams in the decision-making process.,Management,Decision Making,Management
Bonuses are performance-based and fairly distributed.,Compensation,Bonuses,Compensation
The workspace setup supports productivity and comfort.,Work Environment,Office Setup,Work Environment
Management communicates updates regularly.,Management,Communication,Management
There is a clear path for promotions and recognition.,Career Growth,Promotions,Career Growth
Leaders involve teams in the decision-making process.,Management,Decision Making,Management
Bonuses are performance-based and fairly distributed.,Compensation,Bonuses,Compensation
The company invests in training and skill development.,Career Growth,Training Programs,Career Growth
Having a mentor has helped me grow professionally.,Career Growth,Mentorship,Career Growth
Working remotely has been a seamless experience.,Work-Life Balance,Remote Work,Work Environment
Ergonomic furniture helps with long working hours.,Work Environment,Ergonomics,Work Environment
The leave policies are generous and easy to access.,Work-Life Balance,Time Off,Work Environment
There is clarity in what is expected from my position.,Job Role,Clarity,Job Role
The leave policies are generous and easy to access.,Work-Life Balance,Time Off,Work Environment
Management communicates updates regularly.,Management,Communication,Management
Working remotely has been a seamless experience.,Work-Life Balance,Remote Work,Work Environment
The company invests in training and skill development.,Career Growth,Training Programs,Career Growth
There is clarity in what is expected from my position.,Job Role,Clarity,Job Role
Leaders involve teams in the decision-making process.,Management,Decision Making,Management
Office facilities are well-maintained and resourceful.,Work Environment,Facilities,Work Environment
Expectations from my role are communicated effectively.,Job Role,Expectations,Job Role
Ergonomic furniture helps with long working hours.,Work Environment,Ergonomics,Work Environment
The workspace setup supports productivity and comfort.,Work Environment,Office Setup,Work Environment
Leaders involve teams in the decision-making process.,Management,Decision Making,Management
Expectations from my role are communicated effectively.,Job Role,Expectations,Job Role
Bonuses are performance-based and fairly distributed.,Compensation,Bonuses,Compensation
There is a clear path for promotions and recognition.,Career Growth,Promotions,Career Growth
Expectations from my role are communicated effectively.,Job Role,Expectations,Job Role
Office facilities are well-maintained and resourceful.,Work Environment,Facilities,Work Environment
Bonuses are performance-based and fairly distributed.,Compensation,Bonuses,Compensation
Leaders involve teams in the decision-making process.,Management,Decision Making,Management
There is clarity in what is expected from my position.,Job Role,Clarity,Job Role
Management communicates updates regularly.,Management,Communication,Management
Office facilities are well-maintained and resourceful.,Work Environment,Facilities,Work Environment
Ergonomic furniture helps with long working hours.,Work Environment,Ergonomics,Work Environment
Ergonomic furniture helps with long working hours.,Work Environment,Ergonomics,Work Environment
There is a clear path for promotions and recognition.,Career Growth,Promotions,Career Growth
